fail00002prob,565.685424949238,1
fail00004prob,565.685424949238,1
rand00010prob,1471.6987914639976,1
rand00020prob,2374.6424304000097,2
rand00030prob,3251.0923697307376,3
rand00040prob,3393.0560346062803,3
rand00050prob,4687.667412136861,7
rand00060prob,5063.762093016579,8
rand00070prob,5049.642291332578,4
rand00080prob,6218.19630915407,5
rand00090prob,6909.976735751263,8
rand00100prob,7529.260751956945,12
rand00200prob,12968.04502585082,54
rand00300prob,16958.396105191903,356
rand00400prob,22644.61293497496,96
rand00500prob,27996.141660154215,139
rand00600prob,33416.34138440088,194
rand00700prob,37265.69270976111,267
rand00800prob,42246.390958001146,372
rand00900prob,48802.412436931794,521
rand01000prob,51398.86416175545,621
