fail00002prob,565.685424949238,4
fail00004prob,565.685424949238,0
rand00010prob,1471.6987914639976,0
rand00020prob,2374.6424304000097,0
rand00030prob,3251.0923697307376,10
rand00040prob,3393.0560346062803,10
rand00050prob,4687.667412136861,10
rand00060prob,5063.762093016579,20
rand00070prob,5049.642291332578,16
rand00080prob,6218.19630915407,21
rand00090prob,6909.976735751263,21
rand00100prob,7529.260751956945,18
rand00200prob,12968.04502585082,74
rand00300prob,16958.396105191903,202
rand00400prob,22644.61293497496,332
rand00500prob,27996.141660154215,432
rand00600prob,33416.34138440088,700
rand00700prob,37265.69270976111,980
rand00800prob,42246.390958001146,1460
rand00900prob,48802.412436931794,2341
rand01000prob,51398.86416175545,2688
